timestamp,service_name,event_code,event_provider,trace_id,transaction_id,message,callee,call_duration
2025-06-03 11:30:16:185,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.004
2025-06-03 11:30:16:185,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.004
2025-06-03 11:30:36:203,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.002
2025-06-03 11:30:36:203,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.002
2025-06-03 11:30:56:219,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.002
2025-06-03 11:30:56:219,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.002
2025-06-03 11:31:08:720,service_21,package_3.interface_2.function_2,infrastructure,638efab8-7666-48ad-83b6-f56dcb749201,668fad99-04e1-45a6-9ed5-4ee08e3d033c,"-> Client, 2970299:service_14:1, function_2",service_14,0.012
2025-06-03 11:31:09:702,service_21,package_3.interface_2.function_2,infrastructure,55ab702e-4d2b-4ae1-81ce-ed042011b14d,c0a6ed28-43c7-42c8-bd2c-5140fc9c4bf9,"-> Client, 2970299:service_14:1, function_2",service_14,0.018
2025-06-03 11:31:10:404,service_21,package_3.interface_2.function_2,infrastructure,b8368c5c-440c-488f-9faf-4e9f5abdd95d,26a82b2e-cb4c-4dcb-8d54-1464665d5cc0,"-> Client, 2970299:service_14:1, function_2",service_14,0.015
2025-06-03 11:31:16:224,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.003
2025-06-03 11:31:16:224,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.003
2025-06-03 11:31:28:618,service_21,package_3.interface_2.function_2,infrastructure,0541ed97-ea78-4a38-9479-e3305f12b386,095e9f49-2bb5-4df4-b6f9-00ab13a1b266,"-> Client, 2970299:service_14:1, function_2",service_14,0.009
2025-06-03 11:31:36:240,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.002
2025-06-03 11:31:36:240,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.002
2025-06-03 11:31:39:365,service_21,package_3.interface_2.function_2,infrastructure,8cffc83f-3134-4b30-abb8-cd57076d2053,1ca940b8-9c45-4d19-ad6e-3cee252fb964,"-> Client, 2970299:service_14:1, function_2",service_14,0.009
2025-06-03 11:31:40:465,service_21,package_3.interface_2.function_2,infrastructure,49a6d9c6-5f1d-49ec-9acb-774b756e4ff7,18794f08-2bd2-4ffa-9f23-37d0c1abbaec,"-> Client, 2970299:service_14:1, function_2",service_14,0.009
2025-06-03 11:31:40:994,service_21,package_3.interface_2.function_2,infrastructure,7761e4f8-44d3-4b5b-9702-94f8bfa27f16,8a81a127-4edc-4b1f-9654-9cc7e08c46ce,"-> Client, 2970299:service_14:1, function_2",service_14,0.012
2025-06-03 11:31:56:247,service_17,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_19:34, function_1 3",service_19,0.001
2025-06-03 11:31:56:247,service_12,package_1.package_2.interface_1.function_1,infrastructure,-,-,"-> Client, 2970299:service_18:114, function_1 3",service_18,0.001
2025-06-03 11:32:03:738,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 Park, (Position:0,Temperature:300)",service_3,0.445
2025-06-03 11:32:04:183,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 CartridgeDetectionBegin, (Position:0.004,Temperature:300)",service_3,0.34
2025-06-03 11:32:04:523,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 CartridgeDetectionMaxSignal, (Position:0.0035,Temperature:300)",service_3,0.378
2025-06-03 11:32:04:901,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 CartridgeDetectionEnd, (Position:0.003,Temperature:300)",service_3,0.0
2025-06-03 11:32:05:237,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 GrabAndDrag, (Position:0.0162,Temperature:300)",service_3,0.0
2025-06-03 11:32:05:608,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 Docker, (Position:0.018,Temperature:300)",service_3,0.437
2025-06-03 11:32:06:045,service_7,package_3.package_4.interface_3.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:4, function_3 NearTransfer, (Position:0.28,Temperature:300)",service_3,0.0
