name,type,properties
service_1,microservice,"{""interfaces"": [""package_3.package_15.interface_35"", ""package_3.package_16.interface_36""], ""parameters"": {""CapsuleAttachTimeout"": 2.0, ""CartridgeDefrostCoordinates"": 0.005, ""CassetteGripperCoolingInCapsuleTime"": 0.1, ""CassetteInCapsuleDetectionTimeout"": 5.0, ""DockerCycleDelay"": 3.0, ""GrabAndDragDistance"": 0.0018, ""MismatchDataStep"": 0.0001, ""SlotDistance"": 0.0035, ""TomoGridFineTuneAdjustHardLimit"": 0.0003, ""WaitForUser"": 5.0, ""package_12KeySensorName"": ""Compupackage_5 holder tip"", ""package_3KeySensorName"": ""Docker""}}"
service_2,microservice,"{""interfaces"": [""package_17.interface_37""], ""parameters"": {""CompartmentName"": ""package_3"", ""Compartmentpackage_17Sensors"": {""Cartridge"": ""Cartridge gripper"", ""Cassette"": ""Cassette gripper"", ""Docker"": ""Docker"", ""package_3Dewar"": ""Dewar""}}}"
service_3,microservice,"{""interfaces"": [""package_3.package_4.interface_38"", ""package_3.package_4.interface_5"", ""package_3.package_4.interface_39"", ""package_3.package_18.interface_38""], ""parameters"": {""CartridgeArm"": {""ArmExtendedStatePrimitiveName"": ""CartridgeArmExtended_State"", ""ArmHomedStatePrimitiveName"": ""CartridgeArmHomed_State"", ""ArmMoveAllowedStatePrimitiveName"": ""CRT_AA_State"", ""Armpackage_7TimeoutInS"": 60, ""AxisName"": ""X"", ""package_17Compensation"": -9.7e-07}, ""CartridgeGripper"": {""GripperCommandPrimitiveName"": ""CartridgeGripper_Command"", ""GripperName"": ""CartridgeGripper"", ""GripperStatePrimitiveName"": ""CartridgeGripper_State"", ""GripperTimeoutInS"": 5}, ""CartridgeGripperDetector"": {""DetectorCommandPrimitiveName"": ""CartridgeDetect_Command"", ""DetectorName"": ""CartridgeGripperDetector"", ""DetectorStatePrimitiveName"": ""CartridgeDetect_State"", ""DetectorTimeoutInS"": 5}, ""CassetteArm"": {""ArmExtendedStatePrimitiveName"": ""CassetteArmExtended_State"", ""ArmHomedStatePrimitiveName"": ""CassetteArmHomed_State"", ""ArmMoveAllowedStatePrimitiveName"": ""CAS_AA_State"", ""Armpackage_7TimeoutInS"": 60, ""AxisName"": ""Z""}, ""CassetteGripper"": {""GripperCommandPrimitiveName"": ""CassetteGripper_Command"", ""GripperFilledStatePrimitiveName"": ""CassetteGripperFilled_State"", ""GripperName"": ""CassetteGripper"", ""GripperStatePrimitiveName"": ""CassetteGripper_State"", ""GripperTimeoutInS"": 5}, ""CassetteGripperDetector"": {""DetectorName"": ""CassetteGripperDetector"", ""DetectorStatePrimitiveName"": ""CassetteGripperFilled_State""}, ""CollisionPrevention"": {""HomeOffsetTolerance"": 0.003}, ""Docker"": {""DockerCommandPrimitiveName"": ""Docker_Command"", ""DockerName"": ""Docker"", ""DockerStatePrimitiveName"": ""Docker_State"", ""DockerTimeoutInS"": 5}, ""LoadPort"": {""CapsuleFilledStatePrimitiveName"": ""CapsuleFilled_State"", ""CapsuleLockCommandPrimitiveName"": ""CapsuleLock_Command"", ""CapsuleLockStatePrimitiveName"": ""CapsuleLock_State"", ""CapsulePresenceStatePrimitiveName"": ""CapsulePresence_State"", ""LoadLockTimeoutInS"": 20, ""LoadPortName"": ""LoadPort"", ""VacCapCassettePresencePrimitiveName"": ""VacCap_Cassette_Presence""}, ""ScuApplicationName"": ""package_3"", ""SensorVoltMeter"": {""EmitterCommandPrimitiveName"": ""CartridgeDetectEmitter_Command"", ""EmitterStatePrimitiveName"": ""CartridgeDetectEmitter_State"", ""EmitterTimeoutInS"": 5, ""OpticalSensorVoltMeterChannelName"": ""CartridgeDetectDetectorVoltage"", ""OpticalSensorVoltMeterName"": ""OpticalSensor"", ""VoltageScalingFactor"": 5.0}, ""package_11Capsule"": {""CommandTimeout"": 5, ""DriverStatePrimitiveName"": ""VacCap_DriverState"", ""EepromCommandPrimitiveName"": ""VacCap_I2C_Command"", ""EepromDataPrimitiveName"": ""VacCap_I2C_Data"", ""EepromOpResultPrimitiveName"": ""VacCap_I2C_OperationResult"", ""EepromPagePrimitiveName"": ""VacCap_I2C_Page"", ""EepromStatePrimitiveName"": ""VacCap_I2C_State"", ""package_11CapsuleName"": ""package_11Capsule""}, ""package_18CartridgeSensorMeasurement"": {""DockerSafetyMargin"": 0.0}}}"
service_4,microservice,"{""interfaces"": [], ""parameters"": {""CartridgeAxisName"": ""X"", ""CassetteAxisName"": ""Z""}}"
service_5,microservice,"{""interfaces"": [""package_19.package_20.package_21.interface_40""], ""parameters"": {""ProtoServerAddress"": ""0.0.0.0:5101""}}"
service_6,microservice,"{""interfaces"": [""package_22.interface_41""], ""parameters"": null}"
service_7,microservice,"{""interfaces"": [""package_3.package_10.interface_42"", ""package_3.package_10.interface_43""], ""parameters"": {""package_12CompartmentName"": ""package_12"", ""package_3CompartmentName"": ""package_3""}}"
service_8,microservice,"{""interfaces"": [""package_3.package_10.interface_43""], ""parameters"": {""IsCanBased"": false, ""package_11"": {""PumpMicroscopeDelay"": 0.1, ""TmpSpeedChangeDelay"": 2.0, ""ValveOpenCloseDelay"": 0.1, ""VentMicroscopeDelay"": 0.1, ""package_11ExtensionKitPresence"": true}, ""package_17System"": {""SafetyValveParams"": {""CloseTime"": 0.1, ""OpenTime"": 0.1}, ""Sensors"": {""CartridgeGripper"": {""ConstantChangeFactor"": 16, ""Delay"": 0.2}, ""CassetteGripper"": {""ConstantChangeFactor"": 16, ""Delay"": 0.2}, ""CryoBox"": {""ConstantChangeFactor"": 16, ""Delay"": 0.2}, ""Docker"": {""ConstantChangeFactor"": 16, ""Delay"": 0.2}, ""HolderTip"": {""ConstantChangeFactor"": 16, ""Delay"": 0.2}, ""package_12Dewar"": {""ConstantChangeFactor"": 20, ""Delay"": 0.2}, ""package_3Dewar"": {""ConstantChangeFactor"": 20, ""Delay"": 0.2}}, ""package_12Dewar"": {""FillingParams"": {""LevelA"": 0.7, ""LevelB"": 0.85, ""LevelC"": 0.9, ""LevelFull"": 0.95, ""LevelLow"": 0.4, ""LevelNearLow"": 0.5, ""LevelStop"": 1.0, ""TimeoutA"": 10, ""TimeoutB"": 0.1, ""TimeoutC"": 0.1, ""TimeoutD"": 0.2}, ""HwParams"": {""Coolingpackage_17"": 77.35, ""EvaporationSpeed"": 0.002, ""FillingDelay"": 0.2, ""FillingSpeed"": 0.15, ""HeatedEvaporationSpeed"": 0.1}, ""ValveParams"": {""CloseTime"": 0.1, ""OpenTime"": 0.1}, ""WarmUpParams"": {""WarmUpDifference"": 1, ""WarmUppackage_17"": 287.65}, ""package_21Params"": {""HalfSpeedTreshold"": 253.15, ""StopThreshold"": 303.15}}, ""package_3Dewar"": {""FillingParams"": {""LevelA"": 0.7, ""LevelB"": 0.85, ""LevelC"": 0.9, ""LevelFull"": 0.95, ""LevelLow"": 0.1, ""LevelNearLow"": 0.2, ""LevelStop"": 1.0, ""TimeoutA"": 10, ""TimeoutB"": 0.1, ""TimeoutC"": 0.1, ""TimeoutD"": 0.2}, ""HwParams"": {""Coolingpackage_17"": 77.35, ""EvaporationSpeed"": 0.002, ""FillingDelay"": 0.2, ""FillingSpeed"": 0.15, ""HeatedEvaporationSpeed"": 0.1}, ""ValveParams"": {""CloseTime"": 0.1, ""OpenTime"": 0.1}, ""WarmUpParams"": {""WarmUpDifference"": 1, ""WarmUppackage_17"": 287.65}, ""package_21Params"": {""HalfSpeedTreshold"": 253.15, ""StopThreshold"": 303.15}}}, ""package_3package_4"": {""CartridgeArmPositions"": {""CoolingHammerDetach"": 0.001, ""DetectBegin"": 0.004, ""DetectEnd"": 0.003, ""Docker"": 0.018, ""GrabAndDrag"": 0.0162, ""NearTransfer"": 0.28, ""Park"": 0.0, ""PositionCompareTolerance"": 0.0001, ""Transfer"": 0.29, ""Valco"": 0.1}, ""CartridgeAxis"": {""AxisName"": ""X"", ""ExtendedDetectDistance"": 0.18, ""HomeDetectDistance"": 0.003, ""MoveDelay"": 0.01, ""MoveSpeed"": 10.0, ""Smoothpackage_7MaxResolution"": 0.005, ""Smoothpackage_7MaxUpdateFrequency"": 10.0}, ""CartridgeGripper"": {""OpenTime"": 0.01}, ""CassetteArmPositions"": {""Capsule"": 0.19, ""NumberOfSlots"": 12, ""Park"": 0.0, ""PositionCompareTolerance"": 0.0001, ""Slot12"": 0.044, ""SlotDistance"": -0.0035, ""Valak"": 0.1, ""Vcal"": 0.12}, ""CassetteAxis"": {""AxisName"": ""Z"", ""ExtendedDetectDistance"": 0.1, ""HomeDetectDistance"": 0.003, ""MoveDelay"": 0.01, ""MoveSpeed"": 10.0, ""Smoothpackage_7MaxResolution"": 0.005, ""Smoothpackage_7MaxUpdateFrequency"": 10.0}, ""CassetteGripper"": {""OpenTime"": 0.01}, ""Docker"": {""CassetteDetectionTime"": 0.01, ""OpenTime"": 0.01}, ""LoadPort"": {""CassetteDetectionTime"": 0.01, ""LockTime"": 0.01}}, ""package_5"": {""Arctispackage_5"": false, ""AxisMasks"": {""Rx"": 8, ""Ry"": 16, ""X"": 1, ""Y"": 2, ""Z"": 4}, ""ExchangePositions"": {""Exchange"": {""Rx"": -0.0173266622838001, ""Ry"": 0.0, ""X"": 0.00024999328, ""Y"": 0.000138014818, ""Z"": 1.999662e-05, ""package_17"": 300.0}, ""HighClamp"": {""Rx"": -0.0173266622838001, ""Ry"": 0.0, ""X"": 0.00024999328, ""Y"": -1.1985182e-05, ""Z"": 1.999662e-05, ""package_17"": 300.0}, ""LowClamp"": {""Rx"": -0.0173266622838001, ""Ry"": 0.0, ""X"": 0.00024999328, ""Y"": -1.1985182e-05, ""Z"": -0.00018000338, ""package_17"": 300.0}, ""PositionCompareTolerance"": 1e-06, ""PostLoad"": {""Rx"": 0.0, ""Ry"": 0.0, ""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0, ""package_17"": 300.0}, ""PreLoad"": {""Rx"": -0.104593124883517, ""Ry"": 0.0, ""X"": 0.00027999328, ""Y"": 0.000168014818, ""Z"": -0.00021000338, ""package_17"": 300.0}, ""package_17Compensations"": {""CartridgeArmCompensation"": 9.7e-07, ""package_5Compensation"": 3.8e-07}}, ""package_5Range"": {""Rx"": {""Max"": 0.2618, ""Min"": -0.2618}, ""Ry"": {""Max"": 0.1, ""Min"": -0.1}, ""X"": {""Max"": 0.0015, ""Min"": -0.0015}, ""Y"": {""Max"": 0.0015, ""Min"": -0.0015}, ""Z"": {""Max"": 0.00075, ""Min"": -0.00075}}, ""package_5Speeds"": {""Delay"": 1, ""Rx"": 0.314, ""Ry"": 0.314, ""X"": 0.0001, ""Y"": 0.0001, ""Z"": 0.0001}}}}"
service_9,microservice,"{""interfaces"": [""package_3.interface_7"", ""package_3.package_5.interface_5""], ""parameters"": {""package_17CompensationX"": -3.8e-07, ""package_5ClientName"": ""package_3package_6package_5""}}"
service_10,microservice,"{""interfaces"": [], ""parameters"": null}"
